,latitude,longitude,elevation
0,51.161267,-115.56016,1408.166016
1,51.159505,-115.558301,1405.168945
2,51.158833,-115.558519,1404.458984
3,51.157734,-115.557679,1402.17395
4,51.156668,-115.55355,1395.160034
5,51.154165,-115.550189,1405.599976
6,51.153919,-115.549085,1409.89502
7,51.152062,-115.54892,1417.60498
8,51.151218,-115.546772,1424.077026
9,51.149936,-115.547309,1418.087036
10,51.147205,-115.546981,1417.974976
11,51.145825,-115.546044,1413.759033
12,51.145725,-115.545382,1412.529053
13,51.142886,-115.542995,1398.967041
14,51.140605,-115.54328,1411.642944
15,51.138397,-115.542169,1412.442017
16,51.135866,-115.538,1393.592041
17,51.130942,-115.536472,1403.599976
18,51.128702,-115.533399,1406.55603
19,51.128492,-115.532158,1402.504028
20,51.126913,-115.530116,1404.670044
21,51.123923,-115.52938,1405.012939
22,51.121696,-115.526054,1411.124023
23,51.121238,-115.523441,1412.899048
24,51.110934,-115.518131,1471.472046
25,51.109914,-115.516374,1474.107056
26,51.109297,-115.516388,1476.224976
27,51.109716,-115.515208,1468.637939
28,51.109529,-115.512302,1473.078979
29,51.108195,-115.510439,1473.552979
30,51.1069,-115.507086,1473.104004
31,51.105717,-115.506938,1473.918945
32,51.104958,-115.505935,1473.927002
33,51.104138,-115.50604,1478.307007
34,51.10284,-115.507882,1492.003052
35,51.100796,-115.512473,1499.80896
36,51.09896,-115.513329,1502.678955
37,51.093569,-115.512059,1476.988037
38,51.093722,-115.509457,1457.410034
39,51.093366,-115.507468,1465.344971
40,51.092641,-115.5085,1476.396973
41,51.091791,-115.508515,1479.838989
42,51.091665,-115.507945,1485.636963
43,51.093213,-115.50552,1498.583984
44,51.094334,-115.50177,1494.026001
45,51.096754,-115.499105,1496.937988
46,51.097022,-115.498056,1499.063965
47,51.096517,-115.495938,1491.407959
48,51.096715,-115.493822,1483.296997
49,51.095117,-115.492037,1467.04895
50,51.095868,-115.490788,1484.541992
51,51.095195,-115.490066,1492.213013
52,51.093358,-115.485553,1512.182007
53,51.093321,-115.483235,1522.822021
54,51.087759,-115.476905,1525.21106
55,51.08679,-115.474651,1526.025024
56,51.084137,-115.471456,1531.899048
57,51.082123,-115.467782,1549.746948
58,51.077796,-115.465559,1557.947021
59,51.075125,-115.462917,1552.255981
60,51.071335,-115.457718,1578.491943
61,51.068411,-115.454821,1592.467041
62,51.066717,-115.450447,1599.250977
63,51.064962,-115.442598,1614.010986
64,51.064131,-115.436627,1624.084961
65,51.064292,-115.435088,1626.520996
66,51.063633,-115.433821,1629.30896
67,51.062996,-115.429874,1624.0
68,51.059823,-115.428329,1621.0
69,51.059746,-115.430756,1616.0
70,51.059189,-115.431134,1616.0
71,51.058223,-115.429002,1619.0
72,51.056263,-115.431579,1650.0
73,51.055467,-115.431633,1656.0
74,51.05439,-115.433814,1647.0
75,51.053521,-115.432888,1632.0
76,51.052614,-115.432998,1659.0
77,51.051065,-115.431789,1672.0
78,51.051132,-115.431215,1639.0
79,51.050171,-115.43034,1623.0
80,51.04839,-115.430021,1650.0
81,51.047165,-115.427988,1664.0
82,51.044826,-115.4257,1652.0
83,51.043057,-115.426314,1663.0
84,51.041981,-115.425407,1652.0
85,51.038923,-115.426084,1676.0
86,51.034793,-115.425024,1715.0
87,51.034189,-115.42394,1691.0
88,51.032549,-115.423007,1725.0
89,51.03122,-115.420765,1686.0
90,51.028697,-115.42018,1692.0
91,51.027738,-115.418807,1673.0
92,51.023618,-115.417385,1691.0
93,51.021439,-115.417584,1689.0
94,51.019498,-115.416243,1728.0
95,51.018331,-115.413287,1666.0
96,51.016056,-115.413002,1689.0
97,51.014696,-115.411999,1725.0
98,51.014507,-115.410996,1717.0
99,51.002754,-115.395509,1733.0
100,50.998528,-115.38713,1701.0
101,50.998427,-115.384244,1703.0
102,50.997248,-115.383166,1705.0
103,50.994222,-115.3775,1696.380005
104,50.999093,-115.373329,1698.310059
105,50.99834,-115.370781,1697.339966
106,50.99887,-115.368611,1696.859985
107,50.996355,-115.364869,1695.900024
108,50.995994,-115.363502,1695.900024
109,50.993412,-115.359991,1696.380005
110,50.991667,-115.359709,1697.829956
111,50.989759,-115.356365,1699.75
112,50.987784,-115.355756,1700.22998
113,50.985502,-115.352484,1701.189941
114,50.984827,-115.345607,1700.22998
115,50.983322,-115.342493,1701.189941
116,50.983442,-115.340715,1711.280029
117,50.980197,-115.330658,1713.689941
118,50.977752,-115.32675,1708.400024
119,50.976299,-115.321555,1708.880005
120,50.974451,-115.319213,1713.689941
121,50.970404,-115.318423,1710.800049
122,50.964424,-115.315987,1709.359985
123,50.961018,-115.315707,1710.319946
124,50.95781,-115.316527,1710.319946
125,50.950095,-115.316703,1713.689941
126,50.94714,-115.315333,1719.939941
127,50.92572,-115.319029,1730.030029
128,50.924461,-115.319699,1732.430054
129,50.921532,-115.32345,1730.51001
130,50.920194,-115.324297,1733.390015
131,50.915035,-115.324404,1751.660034
132,50.905705,-115.33019,1743.969971
133,50.904137,-115.331967,1743.969971
134,50.90014,-115.339551,1748.780029
135,50.893558,-115.345608,1763.680054
136,50.8902,-115.347482,1749.73999
137,50.883364,-115.348386,1752.140015
138,50.877339,-115.350346,1790.109985
139,50.874082,-115.352249,1789.150024
140,50.872052,-115.352451,1789.150024
141,50.867259,-115.351154,1809.339966
142,50.863809,-115.352872,1801.650024
143,50.861729,-115.352099,1787.709961
144,50.859275,-115.349621,1780.97998
145,50.848941,-115.343914,1824.719971
146,50.845745,-115.344715,1826.160034
147,50.844006,-115.344372,1824.23999
148,50.839523,-115.341383,1832.410034
149,50.83245,-115.338832,1856.920044
150,50.824499,-115.331876,1853.560059
151,50.81507,-115.326848,1864.130005
152,50.811281,-115.326868,1866.060059
153,50.80874,-115.325574,1880.47998
154,50.794781,-115.306683,1899.699951
155,50.787743,-115.299066,1895.380005
156,50.784102,-115.293923,1890.569946
157,50.779695,-115.28525,1876.630005
158,50.774161,-115.279478,1869.900024
159,50.770884,-115.273809,1859.810059
160,50.767456,-115.271659,1856.439941
161,50.762123,-115.267184,1845.390015
162,50.759066,-115.262883,1839.619995
163,50.752332,-115.257243,1836.73999
164,50.74729,-115.248223,1806.939941
165,50.747774,-115.246985,1820.390015
166,50.747423,-115.245384,1829.530029
