,latitude,longitude,elevation
6985,49.000636,-115.055499,855.247986
6986,48.99967,-115.055935,826
6987,48.998889,-115.056693,823
6988,48.998581,-115.057019,822
6989,48.998361,-115.05725,822
6990,48.997752,-115.05775,822
6991,48.99763,-115.057842,822
6992,48.997276,-115.057547,823
6993,48.997274,-115.057478,823
6994,48.9973,-115.056761,827
6995,48.99637,-115.05693,829
6996,48.995467,-115.057034,830
6997,48.99587,-115.059054,822
6998,48.998369,-115.058962,817
6999,48.999295,-115.059948,816
7000,48.999354,-115.06341,816
7001,48.994837,-115.067811,820
7002,48.992235,-115.075213,831
7003,48.992296,-115.085303,826
7004,48.955804,-115.085489,811
7005,48.954409,-115.084958,812
7006,48.952373,-115.085589,814
7007,48.919573,-115.086131,818
7008,48.910023,-115.08245,822
7009,48.906262,-115.079241,806
7010,48.905374,-115.079187,793
7011,48.90509,-115.057749,816
7012,48.892892,-115.057411,793
7013,48.87798,-115.052153,786
7014,48.875741,-115.056072,792
7015,48.872363,-115.052917,817
7016,48.869378,-115.051608,829
7017,48.867869,-115.05028,830
7018,48.865352,-115.049449,835
7019,48.864854,-115.047416,846
7020,48.856767,-115.037897,826
7021,48.854692,-115.03402,821
7022,48.854642,-115.029441,810
7023,48.851915,-115.024467,826
7024,48.851116,-115.022045,843
7025,48.846054,-115.015957,865
7026,48.844996,-115.01314,864
7027,48.838647,-115.007813,869
7028,48.838602,-115.006345,868
7029,48.837259,-115.00127,887
7030,48.83112,-114.995377,899
7031,48.827975,-114.99053,882
7032,48.82258,-114.984852,860
7033,48.812525,-114.977749,847
7034,48.810608,-114.974987,845
7035,48.803627,-114.967314,848
7036,48.802017,-114.966452,852
7037,48.799571,-114.963033,853
7038,48.799563,-114.960916,851
7039,48.798951,-114.959334,854
7040,48.799488,-114.957176,851
7041,48.798741,-114.955037,852
7042,48.798503,-114.951307,855
7043,48.800602,-114.949124,870
7044,48.791939,-114.934575,868
7045,48.793503,-114.932016,871
7046,48.793921,-114.930105,870
7047,48.795986,-114.925261,875
7048,48.800056,-114.921588,877
7049,48.800319,-114.916734,881
7050,48.801202,-114.915275,882
7051,48.801259,-114.912456,882
7052,48.80274,-114.91095,886
7053,48.807477,-114.910686,889
7054,48.810969,-114.905405,894
7055,48.81372,-114.905229,895
7056,48.8146,-114.904139,896
7057,48.817533,-114.893649,907
7058,48.818087,-114.890263,907
7059,48.820776,-114.885799,935
7060,48.821598,-114.885635,946
7061,48.82318,-114.882379,957
7062,48.82396,-114.879461,962
7063,48.825247,-114.870741,1000
7064,48.824777,-114.867456,1020
7065,48.826436,-114.86633,1016
7066,48.826669,-114.863472,1008
7067,48.826245,-114.85839,1011
7068,48.827216,-114.850573,991
7069,48.828165,-114.848745,1006
7070,48.833702,-114.843192,1017
7071,48.83858,-114.839165,1020
7072,48.843081,-114.837417,1032
7073,48.849529,-114.833714,1050
7074,48.852369,-114.830282,1061
7075,48.857809,-114.826183,1088
7076,48.859082,-114.824366,1091
7077,48.86331,-114.820664,1099
7078,48.86461,-114.818762,1099
7079,48.865236,-114.816898,1094
7080,48.866982,-114.814765,1113
7081,48.868459,-114.811599,1114
7082,48.86886,-114.810143,1113
7083,48.877782,-114.805847,1143
7084,48.87968,-114.80597,1157
7085,48.886937,-114.801426,1194
7086,48.889038,-114.801293,1206
7087,48.890275,-114.800619,1207
7088,48.892821,-114.79156,1222
7089,48.893234,-114.78783,1216
7090,48.894704,-114.780997,1236
7091,48.894743,-114.778184,1236
7092,48.895302,-114.77746,1243
7093,48.895328,-114.774818,1242
7094,48.898676,-114.774726,1258
7095,48.900504,-114.775533,1266
7096,48.902745,-114.775365,1274
7097,48.907432,-114.772212,1288
7098,48.90849,-114.770769,1290
7099,48.910165,-114.770343,1304
7100,48.911715,-114.767225,1299
7101,48.916772,-114.763544,1322
7102,48.922759,-114.757463,1345
7103,48.929133,-114.752466,1383
7104,48.927096,-114.735637,1459
7105,48.925359,-114.72849,1490
7106,48.922858,-114.722384,1498
7107,48.92247,-114.720374,1520
7108,48.923214,-114.714002,1576
7109,48.923948,-114.712129,1589
7110,48.924782,-114.705897,1605
7111,48.924485,-114.7013,1572
7112,48.92564,-114.698187,1572
7113,48.926033,-114.693313,1591
7114,48.923423,-114.693573,1561
7115,48.92082,-114.692315,1556
7116,48.918096,-114.687646,1562
7117,48.914224,-114.685002,1540
7118,48.910661,-114.678608,1530
7119,48.910293,-114.67902,1518
7120,48.909497,-114.676686,1519
7121,48.909369,-114.668848,1528
7122,48.909843,-114.66804,1529
7123,48.910703,-114.656328,1542
7124,48.913425,-114.647214,1525
7125,48.917649,-114.637424,1509
7126,48.918072,-114.631996,1501
7127,48.916804,-114.630104,1508
7128,48.916404,-114.627587,1500
7129,48.91691,-114.627266,1502
7130,48.91864,-114.621793,1481
7131,48.918839,-114.619923,1470
7132,48.920222,-114.615402,1460
7133,48.920848,-114.614799,1459
7134,48.921439,-114.612457,1458
7135,48.921768,-114.607296,1438
7136,48.92302,-114.603938,1426
7137,48.924142,-114.598269,1412
7138,48.923611,-114.595829,1403
7139,48.923422,-114.582483,1386
7140,48.922769,-114.579758,1380
7141,48.922693,-114.56945,1371
7142,48.923758,-114.561319,1370
7143,48.926648,-114.551131,1340
7144,48.930925,-114.544241,1344
7145,48.933126,-114.539267,1324
7146,48.935844,-114.529909,1320
7147,48.938519,-114.527513,1317
7148,48.940237,-114.518684,1294
7149,48.941814,-114.516823,1298
7150,48.943308,-114.510845,1289
7151,48.943435,-114.504601,1284
7152,48.943055,-114.501998,1281
7153,48.943384,-114.499251,1285
7154,48.942192,-114.495075,1281
7155,48.940849,-114.486746,1276
7156,48.940226,-114.48521,1274
7157,48.93952,-114.480313,1270
7158,48.938059,-114.475825,1270
7159,48.9376,-114.47288,1261
7160,48.937944,-114.466183,1257
7161,48.9266,-114.439654,1231
7162,48.926096,-114.435008,1231
7163,48.926359,-114.427043,1221
7164,48.923662,-114.422416,1209
7165,48.923118,-114.419449,1203
7166,48.923466,-114.414991,1197
7167,48.9227,-114.411032,1194
7168,48.921649,-114.408922,1186
7169,48.919366,-114.4073,1192
7170,48.919029,-114.404131,1196
7171,48.906907,-114.39162,1175
7172,48.9045,-114.390885,1165
7173,48.903104,-114.389202,1151
7174,48.900477,-114.389125,1152
7175,48.897523,-114.386517,1149
7176,48.895294,-114.382785,1147
7177,48.892718,-114.380518,1147
7178,48.891759,-114.377218,1147
7179,48.884987,-114.376891,1139
7180,48.881483,-114.378707,1136
7181,48.877255,-114.378024,1137
7182,48.874108,-114.3785,1143
7183,48.872814,-114.377794,1147
7184,48.871014,-114.37558,1136
7185,48.870304,-114.371936,1135
7186,48.868656,-114.369848,1136
7187,48.861236,-114.369487,1135
7188,48.854431,-114.366932,1136
7189,48.852425,-114.363434,1130
7190,48.849913,-114.362272,1127
7191,48.848937,-114.360776,1126
7192,48.842819,-114.35468,1122
7193,48.839649,-114.355514,1131
7194,48.835999,-114.360979,1153
7195,48.833471,-114.360266,1163
7196,48.831977,-114.359129,1164
7197,48.830792,-114.361548,1181
7198,48.829861,-114.36082,1186
7199,48.828652,-114.361697,1186
7200,48.826866,-114.364174,1183
7201,48.822364,-114.361949,1185
7202,48.819964,-114.362015,1183
7203,48.818605,-114.359789,1184
7204,48.817671,-114.359394,1186
7205,48.817389,-114.373693,1208
7206,48.817824,-114.374299,1210
7207,48.817907,-114.378273,1214
